Comment,Author,Published At,Updated At,Like Count,Cleaned_Tweet,POS_Tags
"awful, like they don&#39;t know the lyrics at all... 3 hours for 10 songs??",@cathywilson3551,2023-12-16T18:00:33Z,2023-12-16T18:00:33Z,0,awful like they dont know the lyrics at all hours for songs,"[('awful', 'NNS'), ('like', 'IN'), ('they', 'PRP'), ('dont', 'VBP'), ('know', 'VBP'), ('the', 'DT'), ('lyrics', 'NNS'), ('at', 'IN'), ('all', 'DT'), ('hours', 'NNS'), ('for', 'IN'), ('songs', 'NNS')]"
It&#39;s so touching musics for my deep heart and glorify the redeemer..,@OppoA-et7zg,2023-12-16T16:53:20Z,2023-12-16T18:36:25Z,1,Its so touching musics for my deep heart and glorify the redeemer,"[('Its', 'PRP$'), ('so', 'RB'), ('touching', 'JJ'), ('musics', 'NNS'), ('for', 'IN'), ('my', 'PRP$'), ('deep', 'JJ'), ('heart', 'NN'), ('and', 'CC'), ('glorify', 'VB'), ('the', 'DT'), ('redeemer', 'NN')]"
Is this a choir or a keyboard?,@hopefuldad,2023-12-16T10:01:10Z,2023-12-16T10:01:10Z,0,Is this a choir or a keyboard,"[('Is', 'VBZ'), ('this', 'DT'), ('a', 'DT'), ('choir', 'NN'), ('or', 'CC'), ('a', 'DT'), ('keyboard', 'NN')]"
I am 90years and loving these beautiful carols.,@MargotChristie-or4es,2023-12-15T22:40:09Z,2023-12-15T22:40:09Z,4,I am years and loving these beautiful carols,"[('I', 'PRP'), ('am', 'VBP'), ('years', 'NNS'), ('and', 'CC'), ('loving', 'VBG'), ('these', 'DT'), ('beautiful', 'JJ'), ('carols', 'NNS')]"
I really don’t mind if the choir is singing in a different language because most people know the music all over the world! Have a blessed Christmas and a happy new year to you all!,@ettaesch4050,2023-12-12T21:17:47Z,2023-12-12T21:17:47Z,9,I really dont mind if the choir is singing in a different language because most people know the music all over the world Have a blessed Christmas and a happy new year to you all,"[('I', 'PRP'), ('really', 'RB'), ('dont', 'VB'), ('mind', 'NN'), ('if', 'IN'), ('the', 'DT'), ('choir', 'NN'), ('is', 'VBZ'), ('singing', 'VBG'), ('in', 'IN'), ('a', 'DT'), ('different', 'JJ'), ('language', 'NN'), ('because', 'IN'), ('most', 'JJS'), ('people', 'NNS'), ('know', 'VBP'), ('the', 'DT'), ('music', 'NN'), ('all', 'DT'), ('over', 'IN'), ('the', 'DT'), ('world', 'NN'), ('Have', 'VBP'), ('a', 'DT'), ('blessed', 'VBN'), ('Christmas', 'NNP'), ('and', 'CC'), ('a', 'DT'), ('happy', 'JJ'), ('new', 'JJ'), ('year', 'NN'), ('to', 'TO'), ('you', 'PRP'), ('all', 'DT')]"
Thank you so much for this beautiful Christmas music. Really calming and graceful ❤,@lavernebryant7857,2023-12-12T15:52:43Z,2023-12-12T15:52:43Z,9,Thank you so much for this beautiful Christmas music Really calming and graceful,"[('Thank', 'NNP'), ('you', 'PRP'), ('so', 'RB'), ('much', 'RB'), ('for', 'IN'), ('this', 'DT'), ('beautiful', 'JJ'), ('Christmas', 'NNP'), ('music', 'NN'), ('Really', 'NNP'), ('calming', 'VBG'), ('and', 'CC'), ('graceful', 'JJ')]"
Sounds like angels,@maryburt8747,2023-12-12T01:40:33Z,2023-12-12T01:40:33Z,2,Sounds like angels,"[('Sounds', 'NNS'), ('like', 'IN'), ('angels', 'NNS')]"
thats What I&#39;m talking about!           <br><br>                         <b>Classic</b>,@clarkkent3730,2023-12-12T01:17:28Z,2023-12-12T01:17:28Z,1,thats What Im talking about brbr bClassicb,"[('thats', 'NNS'), ('What', 'WP'), ('Im', 'NNP'), ('talking', 'VBG'), ('about', 'IN'), ('brbr', 'NN'), ('bClassicb', 'NN')]"
This is so beautiful 😎🙏❤️,@theculturedbumpkin,2023-12-11T17:46:16Z,2023-12-11T17:46:16Z,6,This is so beautiful,"[('This', 'DT'), ('is', 'VBZ'), ('so', 'RB'), ('beautiful', 'JJ')]"
💚,@candyland4021,2023-12-09T20:35:50Z,2023-12-09T20:35:50Z,1,,[]
Thank you  our lady of Fatima.   We love you.   Let us all. Thank his mother.  Joanpennington.   Roe. 🌿🌲🌲🌿🏆🌿😊😊,@joanroe7770,2023-12-08T03:33:25Z,2023-12-08T03:33:25Z,1,Thank you our lady of Fatima We love you Let us all Thank his mother Joanpennington Roe,"[('Thank', 'NN'), ('you', 'PRP'), ('our', 'PRP$'), ('lady', 'NN'), ('of', 'IN'), ('Fatima', 'NNP'), ('We', 'PRP'), ('love', 'VBP'), ('you', 'PRP'), ('Let', 'VB'), ('us', 'PRP'), ('all', 'DT'), ('Thank', 'NNP'), ('his', 'PRP$'), ('mother', 'NN'), ('Joanpennington', 'NNP'), ('Roe', 'NNP')]"
I found this music.   When i. Really needed it.  Beautiful.    Our lady of medjGorie.   Pray for us.  🌲🌿🎄🏆🏆🏆🏆🏆🌿Joanpennington.  Roe.,@joanroe7770,2023-12-08T03:30:54Z,2023-12-08T03:30:54Z,1,I found this music When i Really needed it Beautiful Our lady of medjGorie Pray for us Joanpennington Roe,"[('I', 'PRP'), ('found', 'VBD'), ('this', 'DT'), ('music', 'NN'), ('When', 'WRB'), ('i', 'NN'), ('Really', 'RB'), ('needed', 'VBD'), ('it', 'PRP'), ('Beautiful', 'NNP'), ('Our', 'PRP$'), ('lady', 'NN'), ('of', 'IN'), ('medjGorie', 'NN'), ('Pray', 'NNP'), ('for', 'IN'), ('us', 'PRP'), ('Joanpennington', 'NNP'), ('Roe', 'NNP')]"
This glorious choir singing the Christmas carols of my youth causes me to cherish my Christian heritage. It is a deeply beautiful heritage...may we continue to honor it by remembering the Spirit of Christmas...the journey to the Holy City for the birth of the Light.,@anatille,2023-12-08T00:21:00Z,2023-12-08T00:24:07Z,10,This glorious choir singing the Christmas carols of my youth causes me to cherish my Christian heritage It is a deeply beautiful heritagemay we continue to honor it by remembering the Spirit of Christmasthe journey to the Holy City for the birth of the Light,"[('This', 'DT'), ('glorious', 'JJ'), ('choir', 'NN'), ('singing', 'VBG'), ('the', 'DT'), ('Christmas', 'NNP'), ('carols', 'NNS'), ('of', 'IN'), ('my', 'PRP$'), ('youth', 'NN'), ('causes', 'VBZ'), ('me', 'PRP'), ('to', 'TO'), ('cherish', 'VB'), ('my', 'PRP$'), ('Christian', 'JJ'), ('heritage', 'NN'), ('It', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('deeply', 'RB'), ('beautiful', 'JJ'), ('heritagemay', 'NN'), ('we', 'PRP'), ('continue', 'VBP'), ('to', 'TO'), ('honor', 'VB'), ('it', 'PRP'), ('by', 'IN'), ('remembering', 'VBG'), ('the', 'DT'), ('Spirit', 'NNP'), ('of', 'IN'), ('Christmasthe', 'NNP'), ('journey', 'NN'), ('to', 'TO'), ('the', 'DT'), ('Holy', 'NNP'), ('City', 'NNP'), ('for', 'IN'), ('the', 'DT'), ('birth', 'NN'), ('of', 'IN'), ('the', 'DT'), ('Light', 'NNP')]"
"In the summer I was diagnosed with prostate cancer at 76, no cure. I wonder how long I have to enjoy this special time of year and the beautiful music.",@magnuswalker7957,2023-12-07T18:43:39Z,2023-12-07T18:43:39Z,7,In the summer I was diagnosed with prostate cancer at no cure I wonder how long I have to enjoy this special time of year and the beautiful music,"[('In', 'IN'), ('the', 'DT'), ('summer', 'NN'), ('I', 'PRP'), ('was', 'VBD'), ('diagnosed', 'VBN'), ('with', 'IN'), ('prostate', 'JJ'), ('cancer', 'NN'), ('at', 'IN'), ('no', 'DT'), ('cure', 'NN'), ('I', 'PRP'), ('wonder', 'VBP'), ('how', 'WRB'), ('long', 'JJ'), ('I', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('enjoy', 'VB'), ('this', 'DT'), ('special', 'JJ'), ('time', 'NN'), ('of', 'IN'), ('year', 'NN'), ('and', 'CC'), ('the', 'DT'), ('beautiful', 'JJ'), ('music', 'NN')]"
"So glad the internet brings quality to us peasants. Everyone in my real life is untalented, tone-deaf and shallow. Thank god for the internet.",@microsoft.microandsoft.for1923,2023-12-07T17:25:15Z,2023-12-07T17:25:15Z,1,So glad the internet brings quality to us peasants Everyone in my real life is untalented tonedeaf and shallow Thank god for the internet,"[('So', 'RB'), ('glad', 'JJ'), ('the', 'DT'), ('internet', 'NN'), ('brings', 'VBZ'), ('quality', 'NN'), ('to', 'TO'), ('us', 'PRP'), ('peasants', 'NNS'), ('Everyone', 'NN'), ('in', 'IN'), ('my', 'PRP$'), ('real', 'JJ'), ('life', 'NN'), ('is', 'VBZ'), ('untalented', 'JJ'), ('tonedeaf', 'NN'), ('and', 'CC'), ('shallow', 'JJ'), ('Thank', 'NNP'), ('god', 'NN'), ('for', 'IN'), ('the', 'DT'), ('internet', 'NN')]"
😊😊ES LA MUSICA PERFECTA DE TODA LA VIDA!! UN VERDADERO GOZO !!,@user-bb1cr2xk7e,2023-12-07T16:37:45Z,2023-12-07T16:37:45Z,1,ES LA MUSICA PERFECTA DE TODA LA VIDA UN VERDADERO GOZO,"[('ES', 'NNP'), ('LA', 'NNP'), ('MUSICA', 'NNP'), ('PERFECTA', 'NNP'), ('DE', 'NNP'), ('TODA', 'NNP'), ('LA', 'NNP'), ('VIDA', 'NNP'), ('UN', 'NNP'), ('VERDADERO', 'NNP'), ('GOZO', 'NNP')]"
Beautiful ❤🧚‍♀️🎄,@lisajayneskender9606,2023-12-07T05:02:36Z,2023-12-07T05:02:36Z,3,Beautiful,"[('Beautiful', 'JJ')]"
"I am 62 and not enjoy being alone, most of the time.",@user-ol6ig5sk5v,2023-12-05T21:37:00Z,2023-12-05T21:37:00Z,0,I am and not enjoy being alone most of the time,"[('I', 'PRP'), ('am', 'VBP'), ('and', 'CC'), ('not', 'RB'), ('enjoy', 'VB'), ('being', 'VBG'), ('alone', 'RB'), ('most', 'JJS'), ('of', 'IN'), ('the', 'DT'), ('time', 'NN')]"
God Bless Us Everyone!,@tommytam3208,2023-12-05T04:39:10Z,2023-12-05T04:39:10Z,3,God Bless Us Everyone,"[('God', 'NNP'), ('Bless', 'NNP'), ('Us', 'NNP'), ('Everyone', 'NN')]"
I think of my dad who died this summer in the age of 53,@GrafLothinsmoor,2023-12-04T13:56:49Z,2023-12-04T13:56:49Z,3,I think of my dad who died this summer in the age of,"[('I', 'PRP'), ('think', 'VBP'), ('of', 'IN'), ('my', 'PRP$'), ('dad', 'NN'), ('who', 'WP'), ('died', 'VBD'), ('this', 'DT'), ('summer', 'NN'), ('in', 'IN'), ('the', 'DT'), ('age', 'NN'), ('of', 'IN')]"
Are some of the songs in Welsh?,@johninman7545,2023-12-04T03:57:59Z,2023-12-04T03:57:59Z,0,Are some of the songs in Welsh,"[('Are', 'NNP'), ('some', 'DT'), ('of', 'IN'), ('the', 'DT'), ('songs', 'NNS'), ('in', 'IN'), ('Welsh', 'NNP')]"
Superbe soirée à l&#39;écoute de ces chants 💓,@francinedrion7775,2023-12-03T21:16:43Z,2023-12-03T21:16:43Z,2,Superbe soire lcoute de ces chants,"[('Superbe', 'NNP'), ('soire', 'NN'), ('lcoute', 'NN'), ('de', 'FW'), ('ces', 'NNS'), ('chants', 'NNS')]"
"Am I the only one who thinks this all sounds digitally produced, including the voices?",@saraamelia8746,2023-12-02T15:27:57Z,2023-12-02T15:27:57Z,2,Am I the only one who thinks this all sounds digitally produced including the voices,"[('Am', 'NNP'), ('I', 'PRP'), ('the', 'DT'), ('only', 'JJ'), ('one', 'NN'), ('who', 'WP'), ('thinks', 'VBZ'), ('this', 'DT'), ('all', 'DT'), ('sounds', 'VBZ'), ('digitally', 'RB'), ('produced', 'VBN'), ('including', 'VBG'), ('the', 'DT'), ('voices', 'NNS')]"
"Well, I came here from Wardruna, so I guess this counts",@TravisSuter,2023-12-02T05:52:43Z,2023-12-02T05:52:43Z,0,Well I came here from Wardruna so I guess this counts,"[('Well', 'RB'), ('I', 'PRP'), ('came', 'VBD'), ('here', 'RB'), ('from', 'IN'), ('Wardruna', 'NNP'), ('so', 'IN'), ('I', 'PRP'), ('guess', 'VBP'), ('this', 'DT'), ('counts', 'NNS')]"
Wonderful!!!!,@anonymousboomer9749,2023-12-01T20:26:11Z,2023-12-01T20:26:11Z,3,Wonderful,"[('Wonderful', 'JJ')]"
